         1         2         3         4         5         
12345678901234567890123456789012345678901234567890123456789
-----------------------------------------------------------
LABEL           |RA        |Dec        |Mag |C|PMRA |PMDEC|
-----------------------------------------------------------
SAO33895          78.9120833-52.18194444 6.49K2+0.022+0.027
Omi Col           79.3712500-34.89527777 4.83K0+0.090-0.337
The Dor           78.4391666-67.18527777 4.83K2+0.019+0.036
SAO5535           82.3570833+77.97750000 6.56A7+0.011-0.017
21 Ori            79.7966666 +2.59583333 5.34F5-0.017-0.047
SAO50326          79.7100000-18.13000000 5.96G0+0.381+0.058
SAO31983          79.8966666 -1.41222222 6.34B1-0.007-0.006
20Rho Aur         80.4516666+41.80444444 5.23B3+0.018-0.037
SAO77121          80.2470833+27.95722222 6.33B9-0.013-0.016
16 Cam            80.8658333+57.54444444 5.28A0+0.013-0.055
SAO77124          80.3029166+29.57000000 5.76A1+0.004+0.004
SAO50335          79.8229166-18.52000000 6.36B3+0.012+0.010
SAO50336          79.8262500-18.50972222 6.54B8+0.005-0.002
SAO94478          80.2358333+19.81416666 6.18K0-0.006-0.015
6Lam Lep          79.8937500-13.17666666 4.29B0-0.001-0.003
7Nu Lep           79.9962500-12.31555555 5.30B7-0.006+0.009
SAO70311          79.8487500-27.36888888 5.99A0 0.000-0.010
SAO32004          80.1100000 -5.36666666 6.39B8-0.011+0.029
SAO40290          80.7095833+41.02944444 5.54A3-0.013+0.005
SAO12660          80.3304166 +4.01194444 6.57B5-0.003-0.009
SAO70327          80.1120833-21.23944444 4.71A0+0.005 0.000
SAO12667          80.4316666 +8.42861111 5.80B1+0.003-0.006
SAO32024          80.3825000 -0.41638888 5.68B3-0.003+0.002
22 Ori            80.4404166 -0.38250000 4.73B2 0.000-0.001
SAO95763          80.0858333-34.69888888 6.34F2-0.007-0.004
Zet Pic           79.8420833-50.60611111 5.45F7+0.028+0.224
22 Aur            80.8454166+28.93666666 6.46B9+0.019-0.030
SAO50375          80.4625000-13.75611111 6.56B8+0.008-0.007
23 Ori            80.7083333 +3.54444444 5.00B1-0.004-0.002
SAO70351          80.4425000-24.77305555 5.06G7-0.024-0.013
SAO95770          80.3204166-34.34527777 6.09B5+0.009+0.001
21Sig Aur         81.1633333+37.38555555 4.99K4+0.001-0.008
110 Tau           80.9070833+16.69944444 6.08A2-0.029-0.017
SAO57987          81.1595833+31.22388888 6.28K1-0.043-0.009
SAO57988          81.1604166+31.14305555 5.94B9-0.011-0.007
SAO12708          80.8795833 +5.32250000 6.35A2-0.024-0.003
SAO32053          80.8270833 -8.41583333 5.9 B8+0.003-0.016
SAO57999          81.3041666+34.85527777 6.55K1-0.007-0.039
111 Tau           81.1058333+17.38333333 4.99F8+0.246-0.009
SAO32057          80.9262500 -0.15972222 5.70B1-0.009+0.003
SAO32060          80.9641666 -0.86722222 6.11F7-0.004-0.009
8 Lep             80.8758333-13.92722222 5.25B2+0.002+0.004
29 Ori            80.9866666 -7.80805555 4.14G8-0.015-0.043
SAO70375          80.8000000-26.70583333 6.49F6+0.029+0.009
SAO12729          81.1508333 +2.35277777 6.32B4+0.011-0.007
27 Ori            81.1204166 -0.89138888 5.08G9-0.005+0.132
28Eta Ori         81.1191666 -2.39694444 3.36B1+0.002 0.000
25Psi1Ori         81.1866666 +1.84638888 4.95B1+0.001+0.001
24Gam Ori         81.2829166 +6.34972222 1.64B2-0.009-0.014
112Bet Tau        81.5729166+28.60750000 1.65B7+0.022-0.175
SAO50416          81.1183333-16.97611111 5.65A1+0.015-0.027
SAO95807          80.8500000-39.67861111 5.71M1+0.028+0.003
SAO58029          81.7262500+35.45722222 6.15K2-0.018-0.011
SAO58028          81.7037500+34.39166666 5.94A0+0.007-0.011
SAO58030          81.7137500+33.26277777 6.15K0+0.013 0.000
SAO95809          80.9125000-37.33666666 6.82K1+0.034+0.008
113 Tau           81.5237500+16.70027777 6.25B2-0.009-0.003
SAO50420          81.2566666-10.32916666 5.61K5-0.017-0.022
SAO32086          81.3800000 -0.54416666 6.57B9+0.012-0.007
Kap Pic           80.5920833-56.13444444 6.11B8-0.005+0.020
17 Cam            82.5425000+63.06722222 5.42M1-0.006-0.005
SAO12752          81.4458333 +0.52083333 6.16B2-0.005+0.019
SAO58040          81.7845833+30.20861111 5.74B9+0.008-0.010
24Phi Aur         81.9120833+34.47583333 5.07K3-0.003-0.047
SAO32100          81.5100000 -5.51833333 6.23B9+0.013+0.008
SAO12767          81.6616666 +6.86916666 6.42A0+0.003-0.012
115 Tau           81.7920833+17.96222222 5.42B5+0.005-0.022
SAO94556          81.8075000+15.25777777 6.16A1-0.014-0.002
114 Tau           81.9087500+21.93694444 4.88B2+0.002-0.007
30Psi2Ori         81.7091666 +3.09555555 4.59B2+0.002-0.004
SAO50442          81.4991666-19.69555555 5.89F2+0.004-0.022
SAO17325          81.2316666-44.22583333 6.08K1+0.003+0.005
116 Tau           81.9400000+15.87416666 5.50B9+0.006-0.022
SAO58405          78.1070833-81.54166666 6.51K1+0.011+0.050
117 Tau           82.0066666+17.23888888 5.77M1+0.020-0.049
SAO50461          81.7700000-11.90083333 6.35F7+0.019-0.049
The Pic           81.1925000-52.31638888 6.27A0-0.012-0.031
SAO94580          82.1450000+13.67888888 6.35A4+0.014-0.018
SAO12794          82.0066666 +1.29833333 6.41B2+0.018+0.003
118 Tau           82.3187500+25.15055555 5.47B8+0.010-0.032
SAO77205          82.4191666+29.18638888 6.24F6+0.022-0.054
SAO70445          81.9020833-21.37555555 6.07G7+0.013+0.036
SAO40387          82.7025000+41.46194444 6.00K0+0.002-0.035
SAO58129          82.6879166+39.82583333 6.37G9+0.021-0.041
SAO32157          82.2362500 -3.30750000 6.39A0-0.035-0.015
SAO17340          81.7720833-40.94361111 5.87A7+0.011+0.096
18 Cam            83.1408333+57.22111111 6.48F8+0.113-0.222
9Bet Lep          82.0612500-20.75944444 2.84G5-0.004-0.089
SAO32170          82.3483333 -3.44638888 5.79K1-0.044-0.008
SAO77220          82.6808333+22.46250000 6.29K0+0.043-0.016
SAO94596          82.6087500+15.36027777 5.94A3-0.027-0.050
SAO12830          82.4783333 +1.78916666 5.78B2+0.008-0.004
31 Ori            82.4333333 -1.09222222 4.71K5+0.004-0.023
SAO95887          82.0637500-37.23055555 5.57A1+0.009+0.074
Lam Dor           81.5804166-58.91250000 5.14G6-0.008+0.028
SAO12837          82.5825000 +4.20416666 6.21K2+0.002-0.048
SAO95898          82.2779166-30.11666666 6.75G8-0.003+0.014
32 Ori            82.6962500 +5.94805555 4.20B5+0.012-0.034
SAO32192          82.5862500 -7.43472222 6.33B2-0.013+0.001
NOVA 1891          000000000 +0000000000                   
33 Ori            82.8104166 +3.29222222 5.46B1+0.001+0.003
25Chi Aur         83.1820833+32.19194444 4.76B5-0.002-0.003
SAO5593           84.9320833+75.04388888 6.17M0-0.008+0.025
119 Tau           83.0533333+18.59444444 4.38M2+0.002-0.001
SAO40426          83.3695833+42.10888888 6.55B9-0.001-0.001
SAO94630          83.0591666+17.05805555 5.46B7-0.002-0.009
SAO32210          82.8370833 -6.70833333 6.22B2+0.010 0.000
10 Lep            82.7816666-20.86361111 5.55A0+0.005-0.044
SAO58179          83.3645833+32.80111111 6.48A2+0.008-0.063
34Del Ori         83.0020833 -0.28444444 6.85B2+0.009-0.004
34Del Ori         83.0016666 -0.29916666 2.23O9+0.001-0.002
SAO13548          84.3175000+66.69611111 6.26A8-0.010-0.031
SAO58182          83.4083333+34.72583333 6.27A3-0.038-0.008
36Ups Ori         82.9825000 -7.30138888 4.62B0-0.001-0.005
SAO17368          82.5395833-47.07777777 5.46G3+0.025-0.137
19 Cam            84.3129166+64.15472222 6.15A0+0.003-0.070
120 Tau           83.3816666+18.54027777 5.69B2-0.002 0.000
SAO49281          81.7500000-68.62277777 6.03F0+0.001-0.019
SAO77255          83.4116666+20.47416666 6.18B6-0.004-0.012
SAO32234          83.1720833 -1.59194444 5.35B1-0.001-0.009
Eps Col           82.8029166-35.47055555 3.87K1+0.022-0.035
SAO32247          83.2800000 -1.71833333 6.46B4-0.025-0.040
35 Ori            83.4762500+14.30555555 5.64B3-0.001-0.009
11Alp Lep         83.1825000-17.82222222 2.58F0+0.001+0.002
SAO25276          84.1466666+54.42888888 5.73M0-0.013-0.002
SAO49288          82.3225000-62.31444444 6.59K4+0.010-0.023
SAO32255          83.3808333 -1.15611111 5.34B1-0.004 0.000
SAO40466          84.0662500+47.71527777 6.11F0+0.012-0.018
SAO17382          82.9004166-45.92527777 5.86K3+0.028+0.038
SAO12901          83.4900000 +1.40777777 6.59B2+0.009+0.004
38 Ori            83.5695833 +3.76694444 5.36A2-0.031-0.018
SAO32269          83.5162500 -1.03555555 6.22B2+0.007+0.001
SAO32270          83.5166666 -1.47055555 5.93K5-0.012-0.033
121 Tau           83.8629166+24.03944444 5.38B2+0.010-0.024
37Phi1Ori         83.7050000 +9.48944444 4.41B0+0.002-0.004
SAO95948          83.2137500-38.51305555 5.48K2+0.040-0.002
SAO77295          83.9812500+27.66222222 6.27K0-0.025-0.039
39Lam Ori         83.7845833 +9.93416666 3.54O8 0.000-0.006
39Lam Ori         83.7854166 +9.93500000 5.61B0+0.001-0.006
SAO95952          83.2808333-35.13972222 5.78K0+0.097-0.041
SAO49297          82.5662500-63.92777777 6.19F0+0.009+0.054
SAO94671          83.8058333+10.24000000 5.60B9+0.022-0.008
SAO40481          84.2183333+40.18222222 6.09G3-0.002-0.010
SAO914            90.3341666+85.18222222 6.11M0+0.011 0.000
SAO32298          83.7537500 -6.00916666 5.67B1-0.011 0.000
SAO32301          83.7612500 -6.00194444 4.78B0+0.004+0.002
SAO70561          83.4670833-29.84888888 6.53A0+0.014+0.021
SAO77310          84.1258333+25.93944444 6.49F5+0.014+0.003
SAO32317          83.8408333 -4.49333333 6.56B1-0.011+0.030
SAO32319          83.8437500 -4.42527777 6.24B2+0.022-0.027
42 Ori            83.8466666 -4.83833333 4.59B1+0.004 0.000
41The1Ori         83.8162500 -5.38722222 6.73B0+0.005+0.002
41The1Ori         83.8170833 -5.38527777 7.96B0+0.005+0.002
41The1Ori         83.8187500 -5.38972222 5.13O6+0.004+0.002
41The1Ori         83.8220833 -5.38777777 6.70B0+0.005+0.002
43The2Ori         83.8454166 -5.41611111 5.08O9+0.001+0.005
SAO32325          83.8795833 -4.36472222 6.38B2+0.002-0.021
44Iot Ori         83.8583333 -5.91000000 2.77O9 0.000+0.001
SAO32332          83.8991666 -3.25277777 6.40B3-0.008 0.000
45 Ori            83.9145833 -4.85583333 5.26F0+0.009+0.011
SAO77322          84.2866666+26.92416666 5.83B9+0.011-0.025
46Eps Ori         84.0533333 -1.20194444 1.70B0+0.001-0.002
SAO58263          84.4404166+33.55916666 6.33K0+0.003 0.000
122 Tau           84.2658333+17.04027777 5.54F0+0.045-0.031
SAO32351          84.0625000 -5.64805555 6.54B3 0.000-0.004
40Phi2Ori         84.2262500 +9.29055555 4.09K0+0.091-0.305
SAO94702          84.2683333+11.03500000 5.94K4+0.051-0.018
SAO95986          83.8141666-33.08000000 5.78K2+0.020+0.109
123Zet Tau        84.4112500+21.14250000 3.00B4 0.000-0.021
SAO32359          84.1487500 -6.06500000 5.72B1-0.005-0.012
SAO34026          83.4350000-54.90222222 6.43F8+0.072+0.011
SAO12966          84.3304166 +8.95194444 6.12B2+0.001-0.001
26 Aur            84.6587500+30.49250000 5.40F9-0.019-0.009
SAO70587          84.0429166-28.70777777 6.26A2+0.023 0.000
SAO13570          85.6100000+65.69777777 5.60K5-0.006-0.018
SAO49309          83.2483333-64.22750000 5.34G8+0.041-0.010
SAO32375          84.3641666 -5.93833333 6.05B1+0.015+0.002
SAO50617          84.2866666-11.77555555 6.11A2+0.020-0.020
SAO12979          84.5045833 +7.54138888 5.88B8+0.007-0.017
SAO77350          84.7391666+26.61777777 6.37G9+0.024-0.018
Bet Dor           83.4062500-62.48972222 3.76F6+0.002+0.009
SAO32387          84.4725000 -4.81361111 6.19B2+0.004+0.021
SAO77354          84.8266666+29.21527777 5.96B2+0.012-0.004
SAO25319          85.3345833+53.48111111 6.23K1+0.002-0.518
Nu 1Col           84.3187500-27.87138888 6.16F0+0.014-0.061
SAO17422          84.0112500-47.31388888 6.11K2-0.014-0.017
125 Tau           84.9341666+25.89694444 5.18B3+0.012-0.024
SAO77358          84.8625000+21.76277777 6.34A1-0.004-0.036
SAO34037          83.7600000-58.87111111 6.75K4-0.035+0.017
48Sig Ori         84.6866666 -2.60000000 3.81O9+0.002+0.001
SAO32408          84.6962500 -2.59416666 6.65B2-0.018+0.012
SAO32405          84.6575000 -6.57388888 5.96B1-0.015+0.003
47Ome Ori         84.7962500 +4.12138888 4.57B3+0.001-0.003
Nu 2Col           84.4358333-28.68944444 5.31F4-0.034+0.052
SAO49314          83.7400000-61.17583333 6.32G5+0.006-0.022
49 Ori            84.7212500 -7.21305555 4.80A4-0.012-0.053
SAO58319          85.1495833+31.35805555 6.04B9-0.007-0.020
SAO58322          85.1754166+31.92083333 6.11M2+0.010+0.006
SAO32424          84.8800000 -3.56472222 6.00A8-0.002-0.003
24 Cam            85.7566666+56.58166666 6.05K0+0.014+0.031
SAO32425          84.8783333 -9.70666666 6.50B7+0.008-0.014
23 Cam            86.0358333+61.47666666 6.15G5-0.005+0.001
SAO50652          84.8179166-17.84944444 6.38B7+0.001+0.003
SAO77393          85.3375000+29.48750000 6.43B8+0.019-0.029
126 Tau           85.3237500+16.53388888 4.86B3+0.008-0.018
SAO17450          84.6816666-40.70750000 5.82B8-0.005+0.009
50Zet Ori         85.1895833 -1.94277777 2.05O9+0.003-0.002
50Zet Ori         85.1900000 -1.94277777 4.21B0+0.004-0.002
SAO32441          85.1554166 -2.82500000 6.22B1+0.008+0.010
SAO77413          85.4775000+23.32638888 6.59B8-0.016-0.014
SAO32445          85.2108333 -1.12888888 4.95B2-0.012-0.006
Gam Men           82.9704166-76.34111111 5.19K2+0.111+0.283
SAO77420          85.5162500+22.66027777 6.36K2-0.011-0.021
SAO13033          85.2733333 +0.33777777 5.93F0+0.015+0.028
Alp Col           84.9120833-34.07416666 2.64B7+0.007-0.026
SAO50680          85.1916666-10.40944444 6.52B9-0.030-0.030
SAO96061          84.9575000-32.62916666 5.45G6-0.022-0.029
SAO32465          85.4179166 -2.89611111 6.42A9+0.041+0.030
SAO49322          84.2279166-66.56027777 6.31B9-0.022+0.010
SAO77450          85.8312500+23.20416666 6.21B2-0.001-0.022
SAO50703          85.4229166-16.72555555 6.21B3-0.005+0.009
51 Ori            85.6191666 +1.47472222 4.91K1-0.058-0.015
SAO56208          83.6862500-73.74138888 5.78M3-0.003+0.033
SAO50716          85.5595833-17.53027777 6.15K0-0.036+0.007
SAO96088          85.3625000-33.40055555 6.34A0+0.014-0.002
SAO32477          85.7241666 -6.79611111 6.02F3-0.003+0.068
12 Lep            85.5579166-22.37361111 5.87A2-0.004+0.018
26 Cam            86.6266666+56.11555555 5.94A4+0.019-0.056
SAO32480          85.7887500 -1.61305555 6.31K4+0.003-0.026
27Omi Aur         86.4750000+49.82638888 5.47A2-0.010+0.001
SAO96096          85.5483333-30.53555555 6.19A0+0.002+0.007
SAO96098          85.5629166-34.66777777 5.29B9-0.008+0.051
SAO40584          86.4562500+40.50722222 6.58A3-0.031-0.005
SAO50739          85.8400000-18.55750000 5.73A0+0.016-0.015
SAO13618          87.2704166+62.80805555 6.13A4-0.007-0.010
SAO77516          86.4141666+20.69500000 6.95C5-0.001 0.000
SAO13099          86.2579166 +4.00805555 6.09F0+0.020-0.019
SAO40609          86.8112500+42.52666666 6.29K0+0.009-0.088
SAO70756          86.1183333-20.12638888 6.34G0-0.016+0.046
SAO96116          85.8758333-39.40694444 6.25F3+0.051-0.002
SAO70757          86.1104166-22.42166666 6.15K2-0.309-0.353
13Gam Lep         86.1158333-22.44833333 3.60F6-0.293-0.370
SAO17497          85.9212500-45.83305555 6.39A9+0.029+0.091
129 Tau           86.6895833+15.82250000 6.00B8+0.004-0.004
SAO32515          86.5116666 -4.26833333 6.34K1 0.000-0.068
SAO13124          86.7170833 +9.52222222 5.79G8-0.034-0.065
SAO13119          86.6458333 +1.16805555 5.95G4-0.073-0.148
131 Tau           86.8050000+14.48833333 5.72A3+0.010-0.039
130 Tau           86.8591666+17.72916666 5.49F0-0.005-0.006
Iot Men           83.9012500-78.82083333 6.05B8+0.008+0.017
29 Cam            87.6416666+56.91888888 6.54A4-0.009-0.008
133 Tau           86.9287500+13.89972222 5.29B2+0.002-0.012
SAO13635          88.2312500+68.47138888 6.20G9+0.005-0.051
29Tau Aur         87.2937500+39.18111111 4.52G8-0.025-0.022
Mu Col            86.4995833-32.30638888 5.17O9+0.009-0.025
SAO77578          87.0933333+20.86944444 6.07B9+0.014-0.016
14Zet Lep         86.7387500-14.82194444 3.55A3-0.016-0.001
52 Ori            87.0008333 +6.45416666 5.27A5+0.007-0.019
SAO50806          86.7816666-16.23777777 6.17G2-0.034+0.003
SAO50814          86.8612500-10.53305555 6.03A4-0.029-0.024
132 Tau           87.2541666+24.56750000 4.86G8-0.004-0.023
SAO25411          87.7350000+51.51472222 6.29K1+0.167-0.030
53Kap Ori         86.9391666 -9.66972222 2.06B0+0.002-0.002
SAO70836          86.7695833-28.63916666 6.22B5+0.006+0.006
30 Cam            88.0725000+58.96416666 6.14A0+0.007-0.023
SAO32554          87.1454166 -4.09472222 5.97G4+0.062-0.225
SAO17521          86.6141666-46.59722222 5.31K0+0.012+0.004
SAO96171          86.8275000-35.67472222 6.32K1-0.008+0.041
134 Tau           87.3870833+12.65111111 4.91B9-0.020-0.024
31Ups Aur         87.7600000+37.30555555 4.74M0+0.035-0.047
32Nu Aur          87.8725000+39.14861111 3.97G9-0.005+0.007
SAO77625          87.7420833+27.96777777 5.56G7-0.009+0.012
SAO13179          87.5108333 +9.87111111 5.80G8+0.005-0.010
Del Dor           86.1933333-65.73555555 4.35A7-0.031+0.008
135 Tau           87.6204166+14.30555555 5.52G9+0.006-0.035
SAO17543          86.9920833-40.65250000 6.61K1+0.007+0.032
SAO58504          87.8570833+32.12500000 6.25M3+0.001+0.007
SAO13186          87.5545833 +4.42333333 5.97K2+0.005-0.039
Bet Pic           86.8212500-51.06638888 3.85A5+0.011+0.085
SAO50845          87.4020833-14.48361111 5.49G6-0.025-0.044
Pi Men            84.2908333-80.46916666 5.65G1+0.305+1.054
SAO34137          86.8041666-54.36083333 6.18K3-0.016-0.009
SAO13198          87.6250000 +2.02444444 5.98G8+0.001-0.015
SAO58524          88.1645833+39.57444444 6.45A2-0.026-0.016
SAO70892          87.4729166-22.97166666 5.87A2-0.014+0.025
31 Cam            88.7408333+59.88833333 5.20A2+0.001-0.019
SAO58528          88.1670833+33.91750000 5.98M1+0.020+0.008
30Xi Aur          88.7116666+55.70694444 4.99A2-0.013+0.020
SAO94942          88.0975000+19.86805555 6.06G2-0.002+0.003
55 Ori            87.8416666 -7.51805555 5.35B2-0.001+0.003
SAO17559          87.3920833-44.87527777 6.38K1-0.004+0.011
137 Tau           88.0929166+14.17166666 5.59B9-0.020-0.005
136 Tau           88.3316666+27.61222222 4.58A0+0.003-0.012
15Del Lep         87.8304166-20.87916666 3.81K0+0.227-0.649
SAO70931          87.8691666-22.92611111 6.17K0-0.001-0.018
56 Ori            88.1100000 +1.85500000 4.78K1-0.007-0.012
SAO77680          88.3295833+20.29916666 6.71B9+0.005-0.010
SAO32603          88.0316666 -9.04138888 5.97A2-0.027+0.052
Bet Col           87.7400000-35.76833333 3.12K2+0.059+0.401
SAO13662          89.3958333+66.09611111 6.25K0+0.048-0.016
Gam Pic           87.4570833-56.16666666 4.51K1+0.083-0.076
SAO70945          87.9979166-29.44861111 6.45K3-0.004+0.020
SAO34162          87.6191666-52.76777777 6.35K0-0.025+0.015
SAO25467          89.0600000+51.80388888 6.49A5-0.009-0.008
SAO58569          88.7458333+31.70166666 5.90A5-0.043-0.176
54Chi1Ori         88.5954166+20.27611111 4.41G0-0.189-0.084
SAO94977          88.5558333+10.58694444 6.12G9+0.006+0.008
SAO34169          87.7216666-52.10888888 5.17G8+0.006-0.078
SAO94979          88.6341666+11.76250000 6.59A2+0.008-0.068
SAO13253          88.5654166 +3.22527777 6.31K0+0.053-0.061
57 Ori            88.7362500+19.74972222 5.92B2-0.003-0.004
SAO96266          88.1383333-37.63111111 5.63K1+0.033-0.031
SAO40720          89.2704166+49.02944444 6.47G8+0.019-0.016
SAO96274          88.1987500-38.52583333 6.70K1+0.004-0.004
Lam Col           88.2787500-33.80138888 4.87B5-0.004+0.033
SAO13265          88.6837500 +0.96833333 6.00K0+0.003-0.003
SAO32635          88.6445833 -4.06388888 6.57B1-0.001+0.020
SAO58418          82.5579166-84.78500000 6.20B9-0.008+0.046
SAO50925          88.4891666-19.63833333 6.69A4-0.025+0.004
58Alp Ori         88.7929166 +7.40694444 0.50M1+0.026+0.009
Lam Men           86.9504166-72.70222222 6.53K0-0.011+0.022
SAO77730          88.9554166+20.17500000 5.4 M6 0.000-0.014
Eps Dor           87.4733333-66.90111111 5.11B6-0.016+0.016
SAO50932          88.6816666-11.77388888 5.66K5+0.066+0.039
SAO77744          89.1408333+28.94222222 6.32A2+0.003-0.001
SAO95004          89.0145833+13.92527777 6.60G5+0.384-0.467
SAO70993          88.5587500-29.14777777 6.36F3-0.020-0.051
SAO17599          88.3454166-42.92138888 6.55K3+0.012+0.009
SAO32652          88.8762500 -4.61638888 5.87K2+0.040-0.017
SAO32653          88.8975000 -4.78833333 6.28A2-0.011-0.019
SAO34181          88.0845833-57.15611111 5.94F7+0.024-0.078
SAO49376          87.8458333-64.03361111 6.36G8-0.011+0.016
SAO77750          89.2337500+24.24972222 6.02A0+0.002 0.000
SAO13284          89.1166666 +9.50972222 5.99A0 0.000-0.001
SAO95027          89.2062500+11.52111111 5.87K2+0.106-0.058
33Del Aur         89.8816666+54.28472222 3.72K0+0.081-0.125
SAO5730           91.2887500+75.58583333 6.40K5+0.009-0.010
SAO25504          89.9404166+55.32083333 6.44A5-0.015-0.088
SAO25505          89.9504166+54.54722222 6.14K2+0.011-0.035
SAO40743          89.8408333+49.92444444 5.89G5-0.002-0.009
SAO96309          88.7187500-39.95805555 5.57M0-0.014+0.016
SAO34191          88.5445833-50.36194444 6.52G8+0.086+0.569
139 Tau           89.4987500+25.95388888 4.82B0 0.000-0.002
16Eta Lep         89.1012500-14.16777777 3.71F1-0.042+0.139
SAO71034          89.0595833-22.84027777 5.96K0+0.119+0.021
Xi Col            88.8745833-37.12083333 4.97K1+0.032-0.026
34Bet Aur         89.8820833+44.94750000 1.90A2-0.057 0.000
SAO17612          88.6712500-49.62694444 6.10B3-0.009+0.016
SAO71045          89.1437500-23.21555555 6.36K0+0.014+0.026
35Pi Aur          89.9837500+45.93694444 4.26M3 0.000-0.005
Sig Col           89.0870833-31.38250000 5.50F2-0.002+0.006
SAO13306          89.4758333 +1.22444444 6.22M0-0.069+0.008
SAO34199          88.7091666-52.63527777 5.29F0-0.005+0.248
37The Aur         89.9304166+37.21250000 2.62A0+0.048-0.081
SAO40769          90.0791666+44.59194444 6.22K2-0.026-0.041
SAO32700          89.5487500 -0.99416666 6.22K0+0.007-0.025
SAO96335          89.2041666-31.97611111 6.44G8+0.002+0.019
SAO95075          89.7216666+12.80861111 5.70K2-0.014+0.021
59 Ori            89.6016666 +1.83694444 5.90A5+0.005-0.008
36 Aur            90.2441666+47.90194444 5.73B9+0.006-0.018
SAO49390          88.5254166-63.09000000 4.65K1+0.138+0.537
60 Ori            89.7066666 +0.55305555 5.22A1-0.013+0.002
SAO49391          88.5495833-64.48222222 6.63F0-0.003+0.064
SAO40789          90.4295833+48.95944444 5.96K0+0.005-0.015
Gam Col           89.3841666-35.28333333 4.36B2 0.000+0.009
1 Mon             89.7541666 -9.38222222 6.12F2+0.014+0.012
2 Mon             89.7679166 -9.55833333 5.03A6+0.009-0.050
SAO32723          89.9070833 -1.44444444 6.63B8-0.009-0.020
SAO58657          90.2925000+31.03472222 5.98A2-0.001+0.009
SAO77837          90.2516666+27.57222222 6.05B9-0.001-0.004
SAO40801          90.7029166+49.90555555 6.05B9+0.024-0.046
SAO32732          90.0141666 -3.07416666 4.53K1+0.012-0.076
SAO34224          89.3100000-53.42611111 6.45K5+0.016-0.014
SAO40808          90.7233333+43.37861111 6.42K0+0.020-0.024
SAO77858          90.4233333+22.40083333 6.37B8-0.011-0.020
SAO17648          89.6566666-44.03444444 5.81G8-0.001+0.014
SAO51011          90.0737500-12.89972222 6.22F0-0.007-0.039
38 Aur            90.8250000+42.91166666 6.10K0+0.112-0.141
Eta Col           89.7866666-42.81527777 3.96K0+0.022-0.014
SAO25551          91.2845833+59.39305555 6.34K1+0.005-0.051
SAO58688          90.7295833+32.63583333 6.24F4+0.076-0.209
SAO25548          91.1212500+51.57333333 6.45A7+0.005-0.042
61Mu Ori          90.5958333 +9.64750000 4.12A2+0.015-0.028
Kap Men           87.5695833-79.36138888 5.47B9-0.009+0.066
SAO13715          91.6633333+63.45361111 6.39K0-0.030+0.006
SAO13392          90.5712500 +1.69444444 6.59B8+0.004+0.007
3 Mon             90.4600000-10.59805555 4.95B5-0.007 0.000
SAO71138          90.3045833-25.41777777 6.05A1-0.008-0.018
64 Ori            90.8637500+19.69055555 5.14B8-0.001-0.017
SAO96413          90.3183333-33.91166666 5.55K5+0.015-0.020
39 Aur            91.2641666+42.98166666 5.87F3-0.039-0.143
SAO95170          90.8529166+11.68083333 6.08A0-0.016-0.015
1 Gem             91.0300000+23.26333333 4.16G7-0.008-0.100
62Chi2Ori         90.9800000+20.13833333 4.63B2+0.002-0.006
SAO51052          90.6408333-14.49722222 6.20G5+0.011+0.012
SAO58716          91.2608333+37.96416666 6.34K0+0.003-0.007
SAO34251          90.2050000-51.21638888 5.67Am-0.021+0.094
SAO58727          91.3916666+33.59916666 6.23B9+0.008-0.013
SAO71180          90.8145833-26.28444444 5.04K3+0.056+0.092
SAO58739          91.5354166+35.38750000 6.12G0-0.131-0.302
SAO32793          91.0562500 -6.70916666 5.21B2-0.005-0.003
40 Aur            91.6462500+38.48277777 5.36A4+0.007-0.049
63 Ori            91.2425000 +5.42000000 5.67G7 0.000+0.003
66 Ori            91.2433333 +4.15861111 5.63G4-0.001-0.005
SAO77958          91.5937500+29.51250000 6.08M3+0.015-0.006
SAO40868          91.8620833+41.85416666 6.12K0+0.007-0.021
17 Lep            91.2462500-16.48444444 4.93A2-0.006-0.001
SAO96459          91.0845833-32.17250000 5.65B2-0.015+0.119
SAO51098          91.3625000-10.24277777 5.87F4+0.014+0.024
SAO49424          90.5383333-60.09694444 6.45M4+0.010+0.004
37 Cam            92.4962500+58.93583333 5.36G8+0.024+0.023
SAO40881          92.0958333+41.05555555 6.36G9-0.016-0.053
SAO32841          91.6612500 -4.19388888 5.38B5-0.007-0.004
18The Lep         91.5387500-14.93527777 4.67A1-0.018+0.014
SAO71222          91.4404166-24.19555555 6.95M6+0.024-0.018
SAO17702          91.1183333-45.03666666 6.35G0-0.080+0.244
SAO17706          91.1675000-45.07888888 5.93F4-0.070+0.255
67Nu Ori          91.8929166+14.76833333 4.42B3+0.006-0.021
SAO96483          91.3629166-35.51361111 5.80A1+0.007+0.018
SAO51126          91.7162500-11.17361111 6.66B3-0.002+0.001
SAO17708          91.1954166-48.45861111 6.58G6-0.092-0.038
SAO71236          91.6333333-23.11055555 5.47Am-0.023-0.023
SAO71231          91.5229166-29.75861111 5.81A1+0.013-0.041
36 Cam            93.2129166+65.71833333 5.32K1+0.006-0.033
SAO71251          91.7400000-21.81277777 5.78M4+0.004-0.016
SAO13503          92.1966666 +8.67000000 6.55B9+0.032+0.005
19 Lep            91.9233333-19.16583333 5.31M2+0.013+0.054
SAO78045          92.3850000+22.19000000 5.93K4-0.018-0.013
